tip,distance,company,local,dow,month,hour
no,0.4,other,yes,Fri,Mar,17
no,0.96,Taxicab Insurance Agency Llc,no,Mon,Apr,8
no,1.07,Sun Taxi,no,Fri,Feb,15
no,1.13,other,no,Sat,Feb,14
no,10.81,Sun Taxi,no,Sat,Apr,14
no,3.6,Chicago Independents,no,Wed,Mar,12
no,1.08,Flash Cab,yes,Wed,Mar,13
no,0.85,Taxicab Insurance Agency Llc,no,Tue,Mar,8
no,17.92,City Service,no,Tue,Jan,20
no,0,City Service,yes,Sun,Apr,16
no,0.52,City Service,yes,Fri,Apr,20
no,4.4,City Service,no,Fri,Feb,8
no,1.92,Sun Taxi,no,Fri,Mar,15
no,10,Taxi Affiliation Services,no,Thu,Apr,15
no,17.16,Taxicab Insurance Agency Llc,no,Fri,Mar,12
no,0,Flash Cab,yes,Tue,Feb,0
no,17.17,Flash Cab,no,Sun,Jan,19
no,1,other,yes,Fri,Mar,18
no,30.6,Taxi Affiliation Services,no,Fri,Jan,15
no,3.44,Taxicab Insurance Agency Llc,no,Sat,Apr,11
no,0,Sun Taxi,yes,Thu,Apr,14
no,10.3,other,no,Mon,Mar,22
no,1.51,Sun Taxi,no,Sun,Apr,13
no,6.26,Flash Cab,no,Tue,Apr,15
no,1.35,Taxicab Insurance Agency Llc,no,Wed,Mar,9
no,18.1,other,no,Sun,Apr,16
no,1.95,Chicago Independents,no,Thu,Mar,8
no,8.99,Sun Taxi,no,Tue,Feb,20
no,2.09,City Service,no,Thu,Mar,21
no,3.32,Taxicab Insurance Agency Llc,no,Mon,Apr,11
no,17.1,Taxi Affiliation Services,no,Mon,Mar,21
no,2.68,Flash Cab,no,Tue,Mar,15
no,19.88,Taxicab Insurance Agency Llc,no,Tue,Mar,18
no,2.7,Taxi Affiliation Services,no,Mon,Mar,20
no,0.97,Taxicab Insurance Agency Llc,no,Mon,Apr,12
no,0.6,other,no,Wed,Apr,7
no,0.1,Taxi Affiliation Services,no,Wed,Feb,15
no,0.55,other,yes,Tue,Apr,11
no,2.78,Sun Taxi,no,Thu,Apr,17
no,5.41,Flash Cab,no,Fri,Jan,7
no,1.6,Sun Taxi,yes,Tue,Feb,17
no,1,other,no,Thu,Mar,18
no,2.54,Taxicab Insurance Agency Llc,no,Wed,Mar,19
no,17.79,other,no,Wed,Feb,15
no,1.6,other,no,Thu,Mar,7
no,1.1,other,no,Fri,Feb,9
no,1.05,City Service,no,Tue,Feb,17
no,18.06,Flash Cab,no,Mon,Jan,20
no,0.9,Taxi Affiliation Services,no,Thu,Jan,23
no,3.9,other,no,Fri,Mar,13
no,2.1,Taxi Affiliation Services,no,Tue,Mar,18
no,3.05,other,no,Wed,Apr,16
no,1.88,Sun Taxi,no,Sat,Feb,18
no,1.38,Taxicab Insurance Agency Llc,no,Thu,Jan,16
no,1.45,Taxicab Insurance Agency Llc,yes,Fri,Apr,11
no,5.9,other,no,Wed,Apr,13
no,0.3,other,yes,Thu,Apr,16
no,16.9,Chicago Independents,no,Tue,Feb,13
no,5.7,other,no,Thu,Mar,18
no,1.29,other,no,Mon,Jan,8
no,0.1,Taxi Affiliation Services,no,Mon,Feb,17
no,0.7,Sun Taxi,yes,Tue,Feb,17
no,0,Taxi Affiliation Services,yes,Wed,Jan,7
no,0.45,Taxicab Insurance Agency Llc,no,Mon,Feb,9
no,1.44,Chicago Independents,no,Tue,Mar,16
no,10.78,Taxicab Insurance Agency Llc,no,Thu,Mar,23
no,9.2,Taxi Affiliation Services,yes,Thu,Mar,9
no,1.49,Sun Taxi,no,Wed,Jan,8
no,15.84,Taxicab Insurance Agency Llc,yes,Sun,Mar,15
no,0,other,no,Sat,Mar,20
no,6.1,Taxi Affiliation Services,no,Tue,Mar,13
no,1.21,City Service,no,Sat,Mar,19
no,0.91,City Service,yes,Thu,Apr,21
no,0,Taxi Affiliation Services,yes,Tue,Feb,18
no,9.78,City Service,no,Tue,Apr,8
no,1.8,other,no,Fri,Jan,15
no,19.1,City Service,no,Sun,Feb,17
no,18.24,Taxicab Insurance Agency Llc,no,Thu,Mar,8
no,15.95,other,no,Thu,Jan,19
no,10.72,Sun Taxi,no,Fri,Mar,9
no,6.42,other,no,Fri,Feb,13
no,1.5,Taxi Affiliation Services,yes,Tue,Mar,15
no,0.8,Taxi Affiliation Services,yes,Fri,Jan,14
no,30.8,Taxi Affiliation Services,no,Mon,Jan,12
no,1.9,Taxicab Insurance Agency Llc,no,Thu,Jan,8
no,1.27,Flash Cab,no,Fri,Jan,14
no,2.24,Taxicab Insurance Agency Llc,no,Wed,Mar,16
no,0,Taxi Affiliation Services,no,Tue,Apr,11
no,7.09,Taxicab Insurance Agency Llc,no,Fri,Apr,18
no,1.67,other,no,Thu,Mar,8
no,18.57,Taxicab Insurance Agency Llc,no,Fri,Feb,15
no,1.81,Sun Taxi,no,Tue,Jan,8
no,0.93,City Service,no,Mon,Jan,12
no,1.83,Flash Cab,no,Thu,Jan,14
no,2.05,Sun Taxi,no,Thu,Apr,16
no,1.1,Taxi Affiliation Services,no,Fri,Jan,12
no,0.62,other,yes,Tue,Jan,10
no,2.82,Flash Cab,no,Thu,Feb,10
no,17.08,City Service,no,Mon,Mar,12
no,0.98,Flash Cab,no,Mon,Apr,8
no,17.79,City Service,no,Thu,Feb,13
no,2.1,other,no,Mon,Apr,14
no,0,Taxi Affiliation Services,no,Thu,Mar,18
no,3.54,Sun Taxi,no,Fri,Mar,19
no,1.22,City Service,no,Sun,Mar,15
no,9.83,Flash Cab,no,Sun,Apr,10
no,1.1,other,yes,Tue,Jan,16
no,17.3,Taxi Affiliation Services,no,Sat,Apr,20
no,1.2,other,yes,Tue,Jan,16
no,12.12,Flash Cab,no,Tue,Mar,22
no,20.91,other,yes,Sun,Mar,7
no,16.95,other,no,Sun,Apr,18
no,2.79,Taxicab Insurance Agency Llc,no,Tue,Mar,22
no,1.92,Sun Taxi,no,Wed,Jan,8
no,19.07,Flash Cab,no,Mon,Apr,11
no,0,Taxi Affiliation Services,yes,Thu,Jan,20
no,0.56,City Service,yes,Thu,Mar,17
no,11.8,Taxi Affiliation Services,no,Wed,Mar,14
no,1.06,City Service,yes,Fri,Apr,18
no,3.36,Flash Cab,no,Mon,Apr,11
no,17.37,other,no,Thu,Apr,18
no,16.81,other,no,Fri,Jan,13
no,16.85,City Service,no,Fri,Mar,16
no,0,other,yes,Mon,Mar,18
no,1.74,Taxicab Insurance Agency Llc,no,Thu,Apr,9
no,9.95,Flash Cab,no,Mon,Jan,13
no,7.24,Chicago Independents,no,Fri,Apr,19
no,3.73,City Service,no,Mon,Mar,15
no,17.5,Taxi Affiliation Services,no,Sat,Apr,12
no,11.51,Sun Taxi,no,Mon,Jan,14
no,17.62,Taxicab Insurance Agency Llc,no,Fri,Apr,17
no,0,Taxi Affiliation Services,no,Fri,Apr,15
no,18.28,City Service,no,Wed,Jan,19
no,0.1,Taxi Affiliation Services,no,Wed,Mar,17
no,0.7,other,yes,Mon,Jan,11
no,1.35,other,no,Thu,Apr,17
no,0.26,Sun Taxi,no,Thu,Feb,20
no,20.28,other,no,Mon,Apr,10
no,1.54,Taxicab Insurance Agency Llc,no,Thu,Apr,21
no,1.51,other,yes,Wed,Jan,19
no,2.51,Sun Taxi,no,Wed,Apr,17
no,1.92,other,no,Fri,Feb,18
no,1.1,Taxi Affiliation Services,no,Wed,Feb,14
no,1.27,other,no,Wed,Feb,8
no,1.56,City Service,no,Sat,Apr,19
no,0.1,Taxi Affiliation Services,no,Fri,Mar,9
no,11.21,Chicago Independents,no,Thu,Mar,14
no,1.2,Flash Cab,no,Fri,Mar,12
no,0,City Service,yes,Fri,Apr,12
no,1.39,Taxicab Insurance Agency Llc,yes,Thu,Jan,17
no,17.1,other,no,Thu,Apr,7
no,2.7,Sun Taxi,no,Tue,Mar,15
no,0,other,no,Fri,Mar,7
no,1.03,Flash Cab,yes,Mon,Feb,9
no,3.13,other,no,Wed,Feb,17
no,9.3,other,no,Fri,Mar,16
no,0,Flash Cab,no,Tue,Feb,9
no,1.01,Flash Cab,yes,Mon,Jan,10
no,0.8,Taxi Affiliation Services,no,Mon,Apr,16
no,1.01,Flash Cab,yes,Tue,Mar,14
no,1.04,other,yes,Fri,Apr,11
no,1,Taxi Affiliation Services,yes,Tue,Jan,9
no,0.72,Taxicab Insurance Agency Llc,no,Tue,Jan,8
no,1.1,City Service,no,Tue,Feb,14
no,0.48,Taxicab Insurance Agency Llc,yes,Thu,Jan,8
no,1.98,Flash Cab,no,Tue,Jan,16
no,0.2,Taxi Affiliation Services,no,Mon,Mar,11
no,0,City Service,yes,Wed,Mar,23
no,18.12,Flash Cab,no,Thu,Jan,16
no,11.67,Flash Cab,no,Mon,Jan,10
no,0.5,other,no,Fri,Apr,13
no,8.6,Taxi Affiliation Services,no,Fri,Mar,10
no,1.8,Taxi Affiliation Services,no,Tue,Feb,16
no,5.53,Flash Cab,no,Mon,Jan,14
no,5.7,Taxi Affiliation Services,no,Thu,Mar,8
no,1.55,City Service,no,Tue,Apr,8
no,1,other,no,Tue,Apr,18
no,17.73,Flash Cab,no,Wed,Apr,18
no,0.9,Taxi Affiliation Services,no,Sat,Mar,9
no,7.5,other,no,Wed,Mar,14
no,10.22,Sun Taxi,no,Wed,Feb,17
no,16.28,other,no,Tue,Jan,0
no,1.63,other,no,Fri,Apr,17
no,0,Flash Cab,no,Fri,Jan,8
no,3.02,Flash Cab,no,Mon,Feb,14
no,1.04,Flash Cab,no,Wed,Apr,22
no,2.36,Flash Cab,no,Wed,Jan,21
no,2.14,other,no,Wed,Jan,11
no,6.78,City Service,no,Mon,Mar,9
no,0.4,other,no,Thu,Feb,22
no,4.48,City Service,no,Mon,Feb,10
no,3.45,Flash Cab,no,Sat,Apr,12
no,2.85,Chicago Independents,no,Tue,Mar,14
no,3.42,Taxicab Insurance Agency Llc,no,Sat,Apr,18
no,0.68,Flash Cab,yes,Wed,Mar,9
no,5.89,other,no,Tue,Mar,9
no,0.02,Taxicab Insurance Agency Llc,yes,Fri,Apr,13
no,1.5,Taxi Affiliation Services,yes,Tue,Apr,15
no,9.16,other,no,Thu,Mar,11
no,1.04,City Service,yes,Mon,Jan,10
no,1.02,Flash Cab,yes,Thu,Feb,10
no,16.95,City Service,no,Mon,Mar,18
no,0.76,City Service,yes,Thu,Feb,16
no,11.12,City Service,no,Sun,Apr,17
no,1.2,City Service,yes,Mon,Apr,11
no,0.56,Sun Taxi,yes,Sat,Mar,12
no,0.41,other,yes,Fri,Jan,17
no,0,Flash Cab,yes,Thu,Mar,17
no,6.9,Taxi Affiliation Services,no,Tue,Mar,15
no,1.58,other,no,Thu,Apr,18
no,1.99,other,no,Thu,Apr,9
no,0.7,Taxi Affiliation Services,yes,Thu,Feb,21
no,1.39,City Service,no,Mon,Apr,17
no,1.6,other,no,Wed,Jan,20
no,0.3,Taxi Affiliation Services,no,Sat,Apr,23
no,0.7,Taxi Affiliation Services,yes,Sat,Jan,15
no,2.52,Flash Cab,no,Mon,Jan,18
no,2.79,Taxicab Insurance Agency Llc,no,Mon,Feb,10
no,13.85,Flash Cab,yes,Sun,Jan,6
no,1.1,Taxi Affiliation Services,yes,Wed,Mar,8
no,0.03,City Service,yes,Sat,Apr,22
no,1.02,Chicago Independents,yes,Fri,Apr,10
no,0.7,Taxi Affiliation Services,no,Tue,Jan,9
