year,quarter,flight_date,month,day_of_month,day_of_week,carrier_code,carrier_name,origin,origin_city,dest,dest_city,dep_time,dep_delay,dep_delay_15,arr_time,arr_delay,arr_delay_15,crs_elapsed_time,actual_elapsed_time,air_time,distance
2024,1,2024-01-08,1,8,1,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1740,-5,0,1914,-21,0,110,94,60,431
2024,1,2024-01-09,1,9,2,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1820,35,1,2040,65,1,110,140,107,431
2024,1,2024-01-10,1,10,3,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1741,-4,0,1944,9,0,110,123,64,431
2024,1,2024-01-11,1,11,4,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1738,-7,0,1927,-8,0,110,109,66,431
2024,1,2024-01-12,1,12,5,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1741,-4,0,1930,-5,0,110,109,62,431
2024,1,2024-01-14,1,14,7,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1929,104,1,2108,93,1,110,99,66,431
2024,1,2024-01-15,1,15,1,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",0854,909,1,1031,896,1,110,97,54,431
2024,1,2024-01-16,1,16,2,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",2041,176,1,2200,145,1,110,79,58,431
2024,1,2024-01-17,1,17,3,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1750,5,0,1928,-7,0,110,98,70,431
2024,1,2024-01-18,1,18,4,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1811,26,1,1932,-3,0,110,81,58,431
2024,1,2024-01-19,1,19,5,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1918,93,1,2044,69,1,110,86,60,431
2024,1,2024-01-21,1,21,7,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1741,-4,0,2015,40,1,110,154,71,431
2024,1,2024-01-22,1,22,1,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1735,-10,0,1927,-8,0,110,112,71,431
2024,1,2024-01-23,1,23,2,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1739,-6,0,1924,-11,0,110,105,70,431
2024,1,2024-01-24,1,24,3,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1935,110,1,2112,97,1,110,97,66,431
2024,1,2024-01-26,1,26,5,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1740,-5,0,1947,12,0,110,127,64,431
2024,1,2024-01-28,1,28,7,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1812,27,1,2016,41,1,110,124,74,431
2024,1,2024-01-29,1,29,1,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1735,-10,0,2019,44,1,110,164,71,431
2024,1,2024-01-30,1,30,2,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1740,-5,0,1911,-24,0,110,91,64,431
2024,1,2024-01-31,1,31,3,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",LGA,"New York, NY",1740,-5,0,1933,-2,0,110,113,72,431
2024,1,2024-01-01,1,1,1,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",1441,-4,0,1700,1,0,134,139,104,700
2024,1,2024-01-02,1,2,2,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",1440,-5,0,1702,3,0,134,142,110,700
2024,1,2024-01-03,1,3,3,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",1453,8,0,1709,10,0,134,136,110,700
2024,1,2024-01-04,1,4,4,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",1436,-9,0,1643,-16,0,134,127,101,700
2024,1,2024-01-05,1,5,5,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",1440,-5,0,1651,-8,0,134,131,107,700
2024,1,2024-01-06,1,6,6,9E,Endeavor Air Inc.,RDU,"Raleigh/Durham, NC",MIA,"Miami, FL",1459,14,0,1734,35,1,134,155,125,700
