Timestamp,How many classes do you have on Tuesdays?,What year are you?
2/6/2025 11:33:57,3,Sophomore
2/6/2025 11:37:39,3,First-year
2/6/2025 11:40:55,2,Senior
2/6/2025 11:42:05,3,First-year
2/6/2025 11:42:46,3,Senior
2/6/2025 11:43:28,3,Senior
2/6/2025 11:44:41,3,First-year
2/6/2025 11:44:49,3,First-year
2/6/2025 11:44:51,2,Sophomore
2/6/2025 11:44:51,3,Sophomore
2/6/2025 11:44:52,5,First-year
2/6/2025 11:44:56,2,Junior
2/6/2025 11:44:58,2,Sophomore
2/6/2025 11:44:59,2,First-year
2/6/2025 11:45:01,1,Sophomore
2/6/2025 11:45:03,3,First-year
2/6/2025 11:45:04,3,Senior
2/6/2025 11:45:06,2,First-year
2/6/2025 11:45:07,2,First-year
2/6/2025 11:45:08,3,Sophomore
2/6/2025 11:45:09,3,Sophomore
2/6/2025 11:45:11,4,First-year
2/6/2025 11:45:12,3,First-year
2/6/2025 11:45:15,4,First-year
2/6/2025 11:45:15,4,Sophomore
2/6/2025 11:45:15,3,First-year
2/6/2025 11:45:16,4,First-year
2/6/2025 11:45:17,2,Sophomore
2/6/2025 11:45:17,3,First-year
2/6/2025 11:45:17,3,Sophomore
2/6/2025 11:45:17,4,Sophomore
2/6/2025 11:45:18,1,Sophomore
2/6/2025 11:45:18,3,Sophomore
2/6/2025 11:45:18,4,First-year
2/6/2025 11:45:19,3,First-year
2/6/2025 11:45:20,3,Senior
2/6/2025 11:45:20,2,First-year
2/6/2025 11:45:21,3,First-year
2/6/2025 11:45:21,3,First-year
2/6/2025 11:45:21,4,First-year
2/6/2025 11:45:22,3,Sophomore
2/6/2025 11:45:22,4,First-year
2/6/2025 11:45:22,2,Sophomore
2/6/2025 11:45:22,3,Sophomore
2/6/2025 11:45:23,3,Sophomore
2/6/2025 11:45:23,3,Senior
2/6/2025 11:45:23,3,Sophomore
2/6/2025 11:45:23,3,First-year
2/6/2025 11:45:24,2,Sophomore
2/6/2025 11:45:25,2,First-year
2/6/2025 11:45:25,3,Sophomore
2/6/2025 11:45:26,2,First-year
2/6/2025 11:45:27,3,Junior
2/6/2025 11:45:27,2,Sophomore
2/6/2025 11:45:27,5,First-year
2/6/2025 11:45:28,3,Sophomore
2/6/2025 11:45:28,3,First-year
2/6/2025 11:45:28,3,First-year
2/6/2025 11:45:29,3,First-year
2/6/2025 11:45:29,3,First-year
2/6/2025 11:45:29,3,First-year
2/6/2025 11:45:29,2,First-year
2/6/2025 11:45:29,2,Sophomore
2/6/2025 11:45:30,2,First-year
2/6/2025 11:45:31,1,Junior
2/6/2025 11:45:31,3,Sophomore
2/6/2025 11:45:32,3,First-year
2/6/2025 11:45:33,2,First-year
2/6/2025 11:45:33,3,Junior
2/6/2025 11:45:34,3,Sophomore
2/6/2025 11:45:34,2,First-year
2/6/2025 11:45:35,3,Sophomore
2/6/2025 11:45:35,3,Sophomore
2/6/2025 11:45:35,2,First-year
