Timestamp,"How many classes do you have on Tuesdays?","What year are you?"
2/9/2026 11:03:46,3,First-year
2/9/2026 11:29:24,2,Sophomore
2/9/2026 11:33:44,2,Sophomore
2/9/2026 11:33:48,2,Sophomore
2/9/2026 11:33:56,1,First-year
2/9/2026 11:33:56,3,First-year
2/9/2026 11:33:58,3,Sophomore
2/9/2026 11:34:07,3,Sophomore
2/9/2026 11:34:13,2,First-year
2/9/2026 11:34:20,3,Junior
2/9/2026 11:34:24,1,Sophomore
2/9/2026 11:34:26,2,First-year
2/9/2026 11:34:26,1,First-year
2/9/2026 11:34:36,1,First-year
2/9/2026 11:34:40,2,First-year
2/9/2026 11:34:42,2,Sophomore
2/9/2026 11:34:59,1,First-year
2/9/2026 11:35:04,3,First-year
2/9/2026 11:35:10,2,First-year
2/9/2026 11:35:19,2,First-year
2/9/2026 11:35:21,3,Sophomore
2/9/2026 11:35:31,2,Sophomore
2/9/2026 11:35:33,4,Junior
2/9/2026 11:35:34,1,First-year
2/9/2026 11:35:43,3,Junior
2/9/2026 11:35:46,3,First-year
2/9/2026 11:35:47,1,First-year
2/9/2026 11:35:49,2,First-year
2/9/2026 11:35:50,1,First-year
2/9/2026 11:35:52,0,First-year
2/9/2026 11:36:03,4,Junior
2/9/2026 11:36:04,2,First-year
2/9/2026 11:36:15,2,First-year
2/9/2026 11:36:23,1,First-year
2/9/2026 11:36:26,3,First-year
2/9/2026 11:36:31,2,First-year
2/9/2026 11:36:33,3,Junior
2/9/2026 11:36:45,2,Sophomore
2/9/2026 11:36:46,1,Junior
2/9/2026 11:36:48,1,Sophomore
2/9/2026 11:36:53,3,First-year
2/9/2026 11:37:01,0,Sophomore
2/9/2026 11:37:06,1,Junior
2/9/2026 11:37:13,1,First-year
2/9/2026 11:37:28,Three,First-year
2/9/2026 11:37:29,Two in both days,First-year
2/9/2026 11:37:57,3,First-year
2/9/2026 11:38:07,1,Sophomore
2/9/2026 11:38:25,2,Junior
2/9/2026 11:38:34,2,First-year
2/9/2026 11:38:37,0,First-year
2/9/2026 11:38:41,2,Sophomore
2/9/2026 11:38:56,2,Junior
2/9/2026 11:39:03,2,Junior
2/9/2026 11:39:04,2,Junior
2/9/2026 11:39:07,3,First-year
2/9/2026 11:39:09,1,Sophomore
2/9/2026 11:39:23,1,First-year
2/9/2026 11:39:25,1,Sophomore
2/9/2026 11:39:28,1,Junior
2/9/2026 11:39:41,2,First-year
2/9/2026 11:39:42,1,First-year
2/9/2026 11:39:48,2,Junior
2/9/2026 11:40:04,1,Junior
2/9/2026 11:40:16,2,Sophomore
2/9/2026 11:40:38,2,Sophomore
2/9/2026 11:40:48,1,First-year
2/9/2026 11:41:00,2,Junior
2/9/2026 11:41:06,2,Sophomore
2/9/2026 11:41:32,3,Sophomore
2/9/2026 11:41:35,3,Sophomore
2/9/2026 11:41:36,2,First-year
2/9/2026 11:42:00,3,Sophomore
2/9/2026 11:42:07,2,Sophomore
2/9/2026 11:42:20,0,Sophomore
2/9/2026 11:42:27,1,Sophomore
2/9/2026 11:42:36,2,First-year
2/9/2026 11:42:37,3,Sophomore
2/9/2026 11:42:41,2,Sophomore
2/9/2026 11:42:42,3,Sophomore
2/9/2026 11:42:46,2,Sophomore
2/9/2026 11:42:49,3,First-year
2/9/2026 11:43:06,3,First-year
2/9/2026 11:43:08,1,First-year
2/9/2026 11:43:24,two,First-year
2/9/2026 11:43:27,2,Sophomore
2/9/2026 11:43:29,2,First-year
2/9/2026 11:43:30,1,Sophomore
2/9/2026 11:43:34,Two ,Sophomore
2/9/2026 11:43:35,2,Senior
2/9/2026 11:43:38,1,First-year
2/9/2026 11:43:41,2,First-year
2/9/2026 11:44:03,1,Sophomore
2/9/2026 11:44:14,3,Junior
2/9/2026 11:44:29,1,Sophomore
2/9/2026 11:44:30,2,Sophomore
2/9/2026 11:44:39,3,First-year
2/9/2026 11:44:39,1,Sophomore
2/9/2026 11:44:40,2,First-year
2/9/2026 11:44:40,0,Junior
2/9/2026 11:44:41,2,Senior
2/9/2026 11:44:47,3,Junior
2/9/2026 11:44:50,1,First-year
2/9/2026 11:44:50,2,Junior
2/9/2026 11:44:51,1,Sophomore
2/9/2026 11:44:53,2,Sophomore
2/9/2026 11:44:55,2,First-year
2/9/2026 11:44:57,0,Sophomore
2/9/2026 11:44:59,1,Senior
2/9/2026 11:45:02,3,First-year
2/9/2026 11:45:06,1,Junior
2/9/2026 11:45:10,0,Junior
2/9/2026 11:45:11,2,First-year
2/9/2026 11:45:11,3,First-year
2/9/2026 11:45:13,4,Junior
2/9/2026 11:45:25,2,Sophomore
2/9/2026 11:45:30,3,Sophomore
2/9/2026 11:45:31,3,Junior
2/9/2026 11:45:32,2,Junior
2/9/2026 11:45:37,2,First-year
2/9/2026 11:45:41,1,First-year
2/9/2026 11:45:45,3,Sophomore
2/9/2026 11:45:52,2,First-year
2/9/2026 11:46:07,2,First-year
2/9/2026 11:46:07,3,Sophomore
2/9/2026 11:46:08,3,Junior
2/9/2026 11:46:11,3,First-year
2/9/2026 11:46:12,One,Sophomore
2/9/2026 11:46:12,3,Sophomore
2/9/2026 11:46:13,2,First-year
2/9/2026 11:46:14,2,First-year
2/9/2026 11:46:14,4,First-year
2/9/2026 11:46:15,2,First-year
2/9/2026 11:46:16,1,Sophomore
2/9/2026 11:46:17,2,First-year
2/9/2026 11:46:18,2,First-year
2/9/2026 11:46:18,2,First-year
2/9/2026 11:46:18,3,Junior
2/9/2026 11:46:19,1,First-year
2/9/2026 11:46:19,3,First-year
2/9/2026 11:46:19,1,Sophomore
2/9/2026 11:46:20,Two,Sophomore
2/9/2026 11:46:20,2,Sophomore
2/9/2026 11:46:20,2,Sophomore
2/9/2026 11:46:20,0,First-year
2/9/2026 11:46:20,1,Sophomore
2/9/2026 11:46:21,2,Sophomore
2/9/2026 11:46:21,2,Junior
2/9/2026 11:46:22,2,First-year
2/9/2026 11:46:22,2,First-year
2/9/2026 11:46:22,0,Sophomore
2/9/2026 11:46:22,2,First-year
2/9/2026 11:46:22,1,Sophomore
2/9/2026 11:46:23,1,First-year
2/9/2026 11:46:24,3,First-year
2/9/2026 11:46:25,2,Sophomore
2/9/2026 11:46:25,2,First-year
2/9/2026 11:46:25,3,First-year
2/9/2026 11:46:25,2,Sophomore
2/9/2026 11:46:26,Two,Sophomore
2/9/2026 11:46:26,2,First-year
2/9/2026 11:46:27,0,First-year
2/9/2026 11:46:28,2,Sophomore
2/9/2026 11:46:28,3,First-year
2/9/2026 11:46:29,1,First-year
2/9/2026 11:46:29,1,Senior
2/9/2026 11:46:29,2,Sophomore
2/9/2026 11:46:29,2,Sophomore
2/9/2026 11:46:31,1,Sophomore
2/9/2026 11:46:31,3,Sophomore
2/9/2026 11:46:31,3,First-year
2/9/2026 11:46:31,2,Senior
2/9/2026 11:46:32,2,Sophomore
2/9/2026 11:46:33,2,Senior
2/9/2026 11:46:33,3,Senior
