stats_experience,programming_experience,programming_languages,learn_best,data_interests
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,"Java, Python, Yaml, SQL, C, Assembly, pretty comfortable with all except for C and assembly",Lots of practice but also good notes + lecture and slides. Making sure that I have theory really down prior to practice is critical.,"Economics,Politics"
"No, I have not taken any statistics courses",None,NA,"I think I am a combination of a tactile and visual learner. I also enjoy guided help especially with something like coding. I have no prior experience coding so it will definitely be an adjustment. I also know that I will have to find resources on my own to assist me with the content. However, it really does help me to just try these things on my own. ","Health (e.g.\, social determinants of health\, medical),Politics,Sports"
"Yes, I have taken a high school statistics course",A little — I’ve written a few lines or done small exercises,NA,"In a collaborative environment, with a good balance of instructions/freedom.","Crime,Economics,Education,Environment/Climate,Politics,No preference"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,I learn the best with one on one help or videos I am able to replay over and over.,"Crime,Education,Politics,Sports"
"No, I have not taken any statistics courses",Some — I’ve worked on a few projects or used it occasionally,NA,Hands-on application/exercises that start easy and get harder and harder (like playing a game and leveling up),"Crime,Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Sports"
"No, I have not taken any statistics courses",A little — I’ve written a few lines or done small exercises,NA,"I enjoy learning visually with demonstrations and walk-throughs. Afterwards, I enjoy repeating and practicing problems and rehearsing what I have learned in class. However, I also find a lot of use from walking through things very conceptually without focusing too much on application first.","Crime,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",None,Python and java,i am a visual learner and i function best with memorization ,"Health (e.g.\, social determinants of health\, medical)"
"No, I have not taken any statistics courses",None,NA,I learn best by doing practice problems and asking questions. ,"Education,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical)"
"Yes, I have taken a high school statistics course",None,"Python- a little bit

Java- Pretty comfortable

C- a little bit","I learn best in very one-on-one, focused environments and lectures where the professor provides thorough instructions and engaging content. ","Economics,Entertainment (e.g.\, books\, movies\, music),Environment/Climate,Politics,Sports"
"Yes, I have taken a high school statistics course",None,NA,"The way I learn best is if everyone is attentive, and there isn't any loud noise. I also feel like asking questions is crucial for my learning.","Economics,Environment/Climate,Sports"
"Yes, I have taken another college course on statistics",None,NA,I learn best by repetition and application of concepts as soon as I learn them. Practicing in a group to learn a concept is very helpful to my learning style as well. ,"Crime,Education,Health (e.g.\, social determinants of health\, medical),Politics"
"Yes, I have taken a high school statistics course",Some — I’ve worked on a few projects or used it occasionally,"In high school, I took AP CSA, AP CSP, and IB Comp-Sci, where I learned mainly Java and flutter. However, I still feel that I have limited knowledge in both coding languages.",I've found all ways to be quite helpful ,"Crime,Entertainment (e.g.\, books\, movies\, music),Health (e.g.\, social determinants of health\, medical),Politics"
