"name","height","spike","block"
"Maguilaura Frias",186,291,280
"Maria Elena Aguilera",153,260,240
"Mitzy Natalia Gonzalez Guzman",168,211,209
"Kaori Mabashi",173,296,286
"Anna Koike",162,263,253
"Jovana Kocic",190,290,285
"Alessia Orro",180,308,231
"Cemre Janset Erkul",184,298,295
"Angelina Sperskaite",188,305,295
"Yuanyuan Wang",195,312,300
"Katarina Marinkovic",186,298,285
"Lana Conceição",175,292,281
"Sonia Beatriz Romero Espinosa",183,301,288
"Anastasia Guerra",187,314,239
"Paola Ogechi Egonu",190,336,256
"Qingqing Du",189,312,300
"Slavena Nikova",180,290,280
"Zehra Gunes",194,309,255
"Dalila Palma Rodriguez",182,301,285
"Maiara Basso",186,287,276
"Ada Germen",182,285,283
"Aidachi Attilah Aguero Aguilera",177,304,295
"Lyara Medeiros",184,297,285
"Lana Conceição",175,292,281
"Aidachi Attilah Aguero Aguilera",177,304,295
